# Daily air quality and meteorological measurementa for majors world-wide cities in 2020
# By using this data you agree with the terms of service: https://aqicn.org/data-platform/tos/
# For more information check: https://aqicn.org/data-platform/covid19/
# Data-Set Generated on 2021-01-31T03:00:45Z

Date,Country,City,Specie,count,min,max,median,variance
2019-12-30,GB,London,pm25,601,26,156,67,2642.68
2019-12-31,GB,London,pm25,600,21,193,70,3326.69
2020-01-01,GB,London,pm25,603,25,236,95,6266.04
2020-01-02,GB,London,pm25,610,1,189,30,3480.87
2020-01-03,GB,London,pm25,601,1,107,30,2071.44
2020-01-04,GB,London,pm25,603,3,75,30,2077
2020-01-05,GB,London,pm25,594,1,102,23,1887.78
2020-01-06,GB,London,pm25,620,3,149,30,1749.22
2020-01-07,GB,London,pm25,605,1,70,35,2108.64
2020-01-08,GB,London,pm25,608,1,152,50,5235.22
2020-01-09,GB,London,pm25,590,1,71,25,1896.79
2020-01-10,GB,London,pm25,596,3,85,33,1584.22
2020-01-11,GB,London,pm25,604,1,65,28,1142.17
2020-01-12,GB,London,pm25,589,1,112,21,1445.9
2020-01-13,GB,London,pm25,594,2,161,21,1428.1
2020-01-14,GB,London,pm25,573,1,124,25,2273.58
2020-01-15,GB,London,pm25,571,2,63,28,1548.31
2020-01-16,GB,London,pm25,565,5,122,29,1325.22
2020-01-17,GB,London,pm25,579,1,89,25,1154.78
2020-01-18,GB,London,pm25,626,3,93,38,2095.33
2020-01-19,GB,London,pm25,618,13,126,46,4562.99
2020-01-20,GB,London,pm25,603,46,137,78,2329.26
2020-01-21,GB,London,pm25,635,39,133,86,2607.97
2020-01-22,GB,London,pm25,619,11,144,83,4707.52
2020-01-23,GB,London,pm25,615,10,99,59,3331.76
2020-01-24,GB,London,pm25,606,7,132,58,3043
2020-01-25,GB,London,pm25,605,12,104,70,2545.9
2020-01-26,GB,London,pm25,627,6,142,52,3497.37
2020-01-27,GB,London,pm25,599,2,112,21,1435.61
2020-01-28,GB,London,pm25,530,1,55,21,1384.87
2020-01-29,GB,London,pm25,587,5,102,33,1151.62
2020-01-30,GB,London,pm25,606,1,95,25,1301.98
2020-01-31,GB,London,pm25,589,1,50,18,983.45
2020-02-01,GB,London,pm25,642,1,102,31,1760.49
2020-02-02,GB,London,pm25,645,1,103,38,2628.96
2020-02-03,GB,London,pm25,651,3,95,35,1337.39
2020-02-04,GB,London,pm25,612,1,91,30,2103.19
2020-02-05,GB,London,pm25,613,3,188,59,3999.76
2020-02-06,GB,London,pm25,609,19,193,65,3916.14
2020-02-07,GB,London,pm25,640,29,193,69,3562.31
2020-02-08,GB,London,pm25,642,1,127,34,2213.76
2020-02-09,GB,London,pm25,567,1,79,25,2561.32
2020-02-10,GB,London,pm25,595,2,119,26,1983.07
2020-02-11,GB,London,pm25,591,1,97,28,1263.32
2020-02-12,GB,London,pm25,587,1,74,24,1522.84
2020-02-13,GB,London,pm25,581,1,123,25,1881.74
2020-02-14,GB,London,pm25,617,2,107,41,1701.24
2020-02-15,GB,London,pm25,602,1,55,20,1053.03
2020-02-16,GB,London,pm25,566,1,107,16,1341.13
2020-02-17,GB,London,pm25,620,2,124,30,1424.31
2020-02-18,GB,London,pm25,570,1,104,25,1255.18
2020-02-19,GB,London,pm25,576,1,72,30,1820.47
2020-02-20,GB,London,pm25,577,1,55,18,1186.4
2020-02-21,GB,London,pm25,622,3,82,31,1619.39
2020-02-22,GB,London,pm25,612,3,104,38,1813.57
2020-02-23,GB,London,pm25,567,1,61,20,1746
2020-02-24,GB,London,pm25,591,1,57,18,1223.57
2020-02-25,GB,London,pm25,613,1,60,17,1068.62
2020-02-26,GB,London,pm25,612,1,80,21,1853.86
2020-02-27,GB,London,pm25,636,2,76,25,1752.94
2020-02-28,GB,London,pm25,636,1,82,25,1888.99
2020-02-29,GB,London,pm25,620,2,113,29,3795.76
2020-03-01,GB,London,pm25,616,1,68,23,1145.85
2020-03-02,GB,London,pm25,469,1,63,21,1364.45
2020-03-03,GB,London,pm25,311,3,79,41,2214.51
2020-03-04,GB,London,pm25,619,3,105,38,1748.07
2020-03-05,GB,London,pm25,614,8,78,38,2012.1
2020-03-06,GB,London,pm25,612,3,112,39,4891.48
2020-03-07,GB,London,pm25,616,6,197,48,3492.09
2020-03-08,GB,London,pm25,647,1,72,25,1329.8
2020-03-09,GB,London,pm25,627,1,82,25,1825.93
2020-03-10,GB,London,pm25,599,1,137,15,1395.45
2020-03-11,GB,London,pm25,589,2,57,18,1006.6
2020-03-12,GB,London,pm25,583,3,72,26,1517.28
2020-03-13,GB,London,pm25,585,3,73,31,1447.4
2020-03-14,GB,London,pm25,599,1,125,25,1268.62
2020-03-15,GB,London,pm25,618,1,63,22,1374.93
2020-03-16,GB,London,pm25,622,1,104,35,1484.61
2020-03-17,GB,London,pm25,624,1,91,30,1234.83
2020-03-18,GB,London,pm25,625,5,102,32,1230.26
2020-03-19,GB,London,pm25,623,6,87,42,2144.65
2020-03-20,GB,London,pm25,621,1,59,25,992.14
2020-03-21,GB,London,pm25,610,1,87,29,1811.05
2020-03-22,GB,London,pm25,617,18,72,40,871.43
2020-03-23,GB,London,pm25,612,9,178,48,1958.98
2020-03-24,GB,London,pm25,593,17,303,51,3161.79
2020-03-25,GB,London,pm25,562,14,144,65,3031.28
2020-03-26,GB,London,pm25,586,9,263,79,3712.68
2020-03-27,GB,London,pm25,600,41,124,78,2305.64
2020-03-28,GB,London,pm25,606,5,91,46,6265.83
2020-03-29,GB,London,pm25,564,3,72,24,1090.49
2020-03-30,GB,London,pm25,579,2,70,23,977.05
2020-03-30,GB,London,pm25,579,2,70,23,977.05
2020-03-31,GB,London,pm25,589,2,63,30,1522.26
2020-03-31,GB,London,pm25,589,2,63,30,1522.26
2020-04-01,GB,London,pm25,572,11,109,36,1736.46
2020-04-01,GB,London,pm25,572,11,109,36,1736.46
2020-04-02,GB,London,pm25,565,3,90,25,1253.87
2020-04-02,GB,London,pm25,565,3,90,25,1253.87
2020-04-03,GB,London,pm25,557,2,104,31,2924.59
2020-04-03,GB,London,pm25,557,2,104,31,2924.59
2020-04-04,GB,London,pm25,567,1,101,46,4344.78
2020-04-04,GB,London,pm25,567,1,101,46,4344.78
2020-04-05,GB,London,pm25,548,7,102,40,1804.3
2020-04-05,GB,London,pm25,548,7,102,40,1804.3
2020-04-06,GB,London,pm25,559,5,179,32,1883.9
2020-04-07,GB,London,pm25,570,6,132,50,4183.31
2020-04-08,GB,London,pm25,608,21,181,93,8042.1
2020-04-09,GB,London,pm25,615,14,164,93,18216.3
2020-04-10,GB,London,pm25,605,17,175,88,4707.75
2020-04-11,GB,London,pm25,633,16,124,69,4096.93
2020-04-12,GB,London,pm25,609,13,107,61,3346.97
2020-04-13,GB,London,pm25,591,7,80,33,1591.06
2020-04-14,GB,London,pm25,582,1,70,31,1179.29
2020-04-15,GB,London,pm25,616,6,154,59,2704.64
2020-04-16,GB,London,pm25,623,14,181,97,5696.51
2020-04-17,GB,London,pm25,621,5,114,38,2899.12
2020-04-18,GB,London,pm25,618,9,149,52,2752.06
2020-04-19,GB,London,pm25,603,9,84,41,1925.82
2020-04-20,GB,London,pm25,633,9,70,41,1108.32
2020-04-21,GB,London,pm25,634,13,82,44,1140.01
2020-04-22,GB,London,pm25,637,33,76,54,738.51
2020-04-23,GB,London,pm25,640,31,111,63,1659.02
2020-04-24,GB,London,pm25,641,28,129,62,3344.95
2020-04-25,GB,London,pm25,646,13,102,45,1671.66
2020-04-26,GB,London,pm25,641,11,102,50,2011.56
2020-04-27,GB,London,pm25,616,10,120,57,2285.94
2020-04-28,GB,London,pm25,589,1,61,25,1278.27
2020-04-29,GB,London,pm25,591,4,61,29,1137.3
2020-04-30,GB,London,pm25,583,1,67,22,1164.63
2020-05-01,GB,London,pm25,573,2,63,24,1107.87
2020-05-02,GB,London,pm25,588,2,98,23,1917.71
2020-05-03,GB,London,pm25,590,1,74,35,1882.71
2020-05-04,GB,London,pm25,590,6,74,38,1463.06
2020-05-05,GB,London,pm25,593,1,64,25,916.22
2020-05-06,GB,London,pm25,606,5,87,44,1668.27
2020-05-07,GB,London,pm25,619,17,93,56,1775.99
2020-05-08,GB,London,pm25,587,17,111,57,2285.06
2020-05-09,GB,London,pm25,626,13,142,72,5354.95
2020-05-10,GB,London,pm25,623,1,91,52,5900.78
2020-05-11,GB,London,pm25,605,1,62,21,1178.97
2020-05-12,GB,London,pm25,591,5,68,26,1041.68
2020-05-13,GB,London,pm25,591,1,62,25,1141.63
2020-05-14,GB,London,pm25,599,1,63,22,1137.7
2020-05-15,GB,London,pm25,600,3,137,36,1561.21
2020-05-16,GB,London,pm25,609,5,98,30,1860.18
2020-05-17,GB,London,pm25,612,5,159,34,1934.76
2020-05-18,GB,London,pm25,620,2,173,30,1656.44
2020-05-19,GB,London,pm25,633,5,76,30,1205.17
2020-05-20,GB,London,pm25,618,2,81,36,1822.93
2020-05-21,GB,London,pm25,624,3,91,41,2323.92
2020-05-22,GB,London,pm25,664,8,109,41,2462.56
2020-05-23,GB,London,pm25,648,1,203,34,2663.1
2020-05-24,GB,London,pm25,651,5,116,38,1826.38
2020-05-25,GB,London,pm25,650,5,161,46,1967.88
2020-05-26,GB,London,pm25,644,5,139,40,1992.88
2020-05-27,GB,London,pm25,650,5,97,38,1585.64
2020-05-28,GB,London,pm25,618,3,78,30,1609.78
2020-05-29,GB,London,pm25,623,4,114,33,1627.18
2020-05-30,GB,London,pm25,644,5,100,40,1548.11
2020-05-31,GB,London,pm25,656,4,68,34,1618.5
2020-06-01,GB,London,pm25,650,5,70,34,1370.95
2020-06-02,GB,London,pm25,657,5,134,35,1765.74
2020-06-03,GB,London,pm25,660,2,99,45,3601.32
2020-06-04,GB,London,pm25,648,1,59,23,917.06
2020-06-05,GB,London,pm25,616,1,83,20,1101.59
2020-06-06,GB,London,pm25,627,1,60,23,1407.42
2020-06-07,GB,London,pm25,606,1,70,26,1124.6
2020-06-08,GB,London,pm25,596,6,72,30,1227.66
2020-06-09,GB,London,pm25,566,4,536,34,5884.04
2020-06-10,GB,London,pm25,593,1,86,42,1934.59
2020-06-11,GB,London,pm25,575,5,93,40,3781.86
2020-06-12,GB,London,pm25,568,10,114,61,3443.47
2020-06-13,GB,London,pm25,585,1,109,33,2864.28
2020-06-14,GB,London,pm25,570,4,117,28,6557.31
2020-06-15,GB,London,pm25,600,5,64,31,1089.57
2020-06-16,GB,London,pm25,608,1,82,30,1800.46
2020-06-17,GB,London,pm25,633,2,85,38,1505.68
2020-06-18,GB,London,pm25,586,1,69,26,1697.32
2020-06-19,GB,London,pm25,607,5,167,29,1350.3
2020-06-20,GB,London,pm25,616,3,77,25,1103.09
2020-06-21,GB,London,pm25,616,1,61,25,1053.63
2020-06-22,GB,London,pm25,592,4,91,34,1109.48
2020-06-23,GB,London,pm25,591,5,158,40,1385.24
2020-06-24,GB,London,pm25,606,25,81,56,1144.78
2020-06-25,GB,London,pm25,585,9,87,57,1234.11
2020-06-26,GB,London,pm25,564,7,130,53,2995.34
2020-06-27,GB,London,pm25,580,1,59,25,1278.37
2020-06-28,GB,London,pm25,587,1,71,21,984.12
2020-06-29,GB,London,pm25,611,1,55,23,893.48
2020-06-30,GB,London,pm25,603,1,65,21,1010.11
2020-07-01,GB,London,pm25,609,3,114,21,1355.17
2020-07-02,GB,London,pm25,601,3,60,24,1256.14
2020-07-03,GB,London,pm25,602,5,77,26,975.68
2020-07-04,GB,London,pm25,583,2,89,22,1800.48
2020-07-05,GB,London,pm25,575,1,58,23,1570.73
