# Daily air quality and meteorological measurementa for majors world-wide cities in 2020
# By using this data you agree with the terms of service: https://aqicn.org/data-platform/tos/
# For more information check: https://aqicn.org/data-platform/covid19/
# Data-Set Generated on 2021-01-31T03:00:45Z

Date,Country,City,Specie,count,min,max,median,variance
2019-12-30,US,Los Angeles,pm25,48,5,83,42,3699.78
2019-12-31,US,Los Angeles,pm25,46,2,157,51,10593.9
2020-01-01,US,Los Angeles,pm25,48,21,175,61,16928.9
2020-01-02,US,Los Angeles,pm25,118,30,85,61,1679.41
2020-01-03,US,Los Angeles,pm25,120,30,105,63,3248.23
2020-01-04,US,Los Angeles,pm25,120,25,133,68,4577.94
2020-01-05,US,Los Angeles,pm25,120,24,124,61,4646.95
2020-01-06,US,Los Angeles,pm25,114,5,112,46,6446.78
2020-01-07,US,Los Angeles,pm25,116,9,59,25,1919.22
2020-01-08,US,Los Angeles,pm25,72,22,70,50,1408.44
2020-01-09,US,Los Angeles,pm25,66,8,68,42,2675.49
2020-01-10,US,Los Angeles,pm25,70,4,73,53,3416.72
2020-01-11,US,Los Angeles,pm25,72,10,93,61,4966.29
2020-01-12,US,Los Angeles,pm25,72,28,87,62,2448.86
2020-01-13,US,Los Angeles,pm25,72,30,97,63,3617.31
2020-01-14,US,Los Angeles,pm25,72,38,103,73,2145.62
2020-01-15,US,Los Angeles,pm25,72,55,152,94,5173.73
2020-01-16,US,Los Angeles,pm25,72,3,157,80,29856
2020-01-17,US,Los Angeles,pm25,72,9,66,30,2122.25
2020-01-18,US,Los Angeles,pm25,72,11,96,44,5677.18
2020-01-19,US,Los Angeles,pm25,72,5,103,50,5850.92
2020-01-20,US,Los Angeles,pm25,72,15,110,61,5163.38
2020-01-21,US,Los Angeles,pm25,72,8,59,34,1510.7
2020-01-22,US,Los Angeles,pm25,72,25,80,46,2070.66
2020-01-23,US,Los Angeles,pm25,72,17,86,57,4098.97
2020-01-24,US,Los Angeles,pm25,72,30,88,55,2457.56
2020-01-25,US,Los Angeles,pm25,72,38,143,72,5799.76
2020-01-26,US,Los Angeles,pm25,72,41,151,64,9563
2020-01-27,US,Los Angeles,pm25,72,23,119,76,5256.05
2020-01-28,US,Los Angeles,pm25,70,13,80,48,3744.78
2020-01-29,US,Los Angeles,pm25,70,9,76,42,2198.23
2020-01-30,US,Los Angeles,pm25,72,17,101,43,3504.69
2020-01-31,US,Los Angeles,pm25,68,6,84,46,4776.2
2020-02-01,US,Los Angeles,pm25,72,17,78,43,3275.63
2020-02-02,US,Los Angeles,pm25,72,17,99,57,4792.27
2020-02-03,US,Los Angeles,pm25,66,5,52,23,1396.96
2020-02-04,US,Los Angeles,pm25,72,4,53,26,1762.52
2020-02-05,US,Los Angeles,pm25,72,5,82,30,4761.06
2020-02-06,US,Los Angeles,pm25,66,15,72,52,1576.22
2020-02-07,US,Los Angeles,pm25,69,15,131,66,4898.61
2020-02-08,US,Los Angeles,pm25,68,34,121,71,4964.14
2020-02-09,US,Los Angeles,pm25,48,13,74,42,2547.64
2020-02-10,US,Los Angeles,pm25,47,13,69,38,1635.84
2020-02-11,US,Los Angeles,pm25,48,9,68,34,1906.56
2020-02-12,US,Los Angeles,pm25,48,30,72,46,983.76
2020-02-13,US,Los Angeles,pm25,48,25,113,57,2227.16
2020-02-14,US,Los Angeles,pm25,48,26,99,57,2309.78
2020-02-15,US,Los Angeles,pm25,48,36,106,63,2052.32
2020-02-16,US,Los Angeles,pm25,48,40,89,63,1476.15
2020-02-17,US,Los Angeles,pm25,48,45,108,67,1795.95
2020-02-18,US,Los Angeles,pm25,48,34,87,59,1854.82
2020-02-19,US,Los Angeles,pm25,47,47,97,70,2073.02
2020-02-20,US,Los Angeles,pm25,48,31,107,70,3349.68
2020-02-21,US,Los Angeles,pm25,48,21,111,53,5008.83
2020-02-22,US,Los Angeles,pm25,47,8,59,34,863.76
2020-02-23,US,Los Angeles,pm25,48,25,57,46,784.04
2020-02-24,US,Los Angeles,pm25,68,28,78,56,843.17
2020-02-25,US,Los Angeles,pm25,72,25,96,53,2509.23
2020-02-26,US,Los Angeles,pm25,69,1,74,50,3033.7
2020-02-27,US,Los Angeles,pm25,66,9,79,46,3073.23
2020-02-28,US,Los Angeles,pm25,72,8,78,34,3649.01
2020-02-29,US,Los Angeles,pm25,72,14,62,42,1365.88
2020-03-01,US,Los Angeles,pm25,72,4,55,38,1333
2020-03-02,US,Los Angeles,pm25,38,17,65,34,1734.29
2020-03-03,US,Los Angeles,pm25,50,5,68,32,2831.84
2020-03-04,US,Los Angeles,pm25,72,36,73,55,604.69
2020-03-05,US,Los Angeles,pm25,64,30,131,63,4582.44
2020-03-06,US,Los Angeles,pm25,72,18,102,54,3497.96
2020-03-07,US,Los Angeles,pm25,58,3,59,20,1876.92
2020-03-08,US,Los Angeles,pm25,66,2,49,17,1433.53
2020-03-09,US,Los Angeles,pm25,72,4,69,30,1505.23
2020-03-10,US,Los Angeles,pm25,72,1,37,17,844.04
2020-03-11,US,Los Angeles,pm25,68,5,42,20,743.17
2020-03-12,US,Los Angeles,pm25,72,6,60,29,1987.13
2020-03-13,US,Los Angeles,pm25,71,1,59,30,1470.04
2020-03-14,US,Los Angeles,pm25,68,4,50,18,1343.56
2020-03-15,US,Los Angeles,pm25,72,5,44,23,1014.32
2020-03-16,US,Los Angeles,pm25,66,8,53,30,1276.16
2020-03-17,US,Los Angeles,pm25,70,3,63,21,1908.41
2020-03-18,US,Los Angeles,pm25,72,2,69,30,2683.85
2020-03-19,US,Los Angeles,pm25,64,5,46,21,1362.62
2020-03-20,US,Los Angeles,pm25,62,1,57,25,1758.65
2020-03-21,US,Los Angeles,pm25,67,6,95,22,2335.33
2020-03-22,US,Los Angeles,pm25,66,2,52,26,1885.58
2020-03-23,US,Los Angeles,pm25,60,4,37,14,601.31
2020-03-24,US,Los Angeles,pm25,68,9,40,25,665.19
2020-03-25,US,Los Angeles,pm25,63,1,39,14,767.23
2020-03-26,US,Los Angeles,pm25,68,5,64,17,1360.01
2020-03-27,US,Los Angeles,pm25,70,3,51,26,1168.78
2020-03-28,US,Los Angeles,pm25,72,17,53,35,823.56
2020-03-29,US,Los Angeles,pm25,69,12,63,42,1596.32
2020-03-30,US,Los Angeles,pm25,71,8,53,39,1126.99
2020-03-30,US,Los Angeles,pm25,71,8,53,39,1126.99
2020-03-31,US,Los Angeles,pm25,71,25,72,42,1311.52
2020-03-31,US,Los Angeles,pm25,71,25,72,42,1311.52
2020-04-01,US,Los Angeles,pm25,72,20,61,39,1020.4
2020-04-01,US,Los Angeles,pm25,72,20,61,39,1020.4
2020-04-02,US,Los Angeles,pm25,72,23,57,46,542.75
2020-04-02,US,Los Angeles,pm25,72,23,57,46,542.75
2020-04-03,US,Los Angeles,pm25,57,26,66,45,869.62
2020-04-03,US,Los Angeles,pm25,57,26,66,45,869.62
2020-04-04,US,Los Angeles,pm25,48,25,57,42,597.43
2020-04-04,US,Los Angeles,pm25,48,25,57,42,597.43
2020-04-05,US,Los Angeles,pm25,38,1,37,17,1289.56
2020-04-05,US,Los Angeles,pm25,38,1,37,17,1289.56
2020-04-06,US,Los Angeles,pm25,46,3,24,12,290.43
2020-04-07,US,Los Angeles,pm25,53,3,47,17,1266.01
2020-04-08,US,Los Angeles,pm25,63,5,55,22,1489.93
2020-04-09,US,Los Angeles,pm25,65,5,41,17,948.4
2020-04-10,US,Los Angeles,pm25,57,1,51,10,2220.89
2020-04-11,US,Los Angeles,pm25,70,6,42,29,855.99
2020-04-12,US,Los Angeles,pm25,68,5,50,29,1428.51
2020-04-13,US,Los Angeles,pm25,72,5,36,22,781.62
2020-04-14,US,Los Angeles,pm25,71,13,60,41,1095.35
2020-04-15,US,Los Angeles,pm25,66,21,74,44,2475.01
2020-04-16,US,Los Angeles,pm25,72,25,68,44,1068.91
2020-04-17,US,Los Angeles,pm25,41,5,53,38,1314.51
2020-04-18,US,Los Angeles,pm25,16,13,30,21,289.62
2020-04-19,US,Los Angeles,pm25,23,5,30,21,339.88
2020-04-20,US,Los Angeles,pm25,22,17,46,30,784.18
2020-04-21,US,Los Angeles,pm25,48,17,55,34,1382.11
2020-04-22,US,Los Angeles,pm25,72,9,64,50,1308.29
2020-04-23,US,Los Angeles,pm25,72,25,74,46,1596.32
2020-04-24,US,Los Angeles,pm25,40,24,68,41,1684.35
2020-04-25,US,Los Angeles,pm25,23,38,65,57,418.97
2020-04-26,US,Los Angeles,pm25,21,46,70,61,359.48
2020-04-27,US,Los Angeles,pm25,24,50,70,59,249.4
2020-04-28,US,Los Angeles,pm25,50,47,87,56,734.54
