Date,Los Angeles
2021-12-27,30
2021-12-28,25
2021-12-29,30
2021-12-30,13
2021-12-31,42
2022-01-01,60
2022-01-02,34
2022-01-03,50
2022-01-04,61
2022-01-05,78
2022-01-06,74
2022-01-07,53
2022-01-08,59
2022-01-09,76
2022-01-10,34
2022-01-11,30
2022-01-12,54
2022-01-13,70
2022-01-14,65
2022-01-15,53
2022-01-16,38
2022-01-17,38
2022-01-18,37
2022-01-19,59
2022-01-20,52
2022-01-21,46
2022-01-22,24
2022-01-23,36
2022-01-24,49
2022-01-25,55
2022-01-26,59
2022-01-27,52
2022-01-28,43
2022-01-29,43
2022-01-30,57
2022-01-31,65
2022-02-01,63
2022-02-02,56
2022-02-03,48
2022-02-04,48
2022-02-05,40
2022-02-06,57
2022-02-07,47
2022-02-08,42
2022-02-09,48
2022-02-10,50
2022-02-11,53
2022-02-12,52
2022-02-13,35
2022-02-14,58
2022-02-15,38
2022-02-16,39
2022-02-17,40
2022-02-18,44
2022-02-19,51
2022-02-20,60
2022-02-21,45
2022-02-22,30
2022-02-23,20
2022-02-24,37
2022-02-25,50
2022-02-26,43
2022-02-27,29
2022-02-28,49
2022-03-01,43
2022-03-02,53
2022-03-03,51
2022-03-04,27
2022-03-05,34
2022-03-06,35
2022-03-07,48
2022-03-08,40
2022-03-09,43
2022-03-10,54
2022-03-11,43
2022-03-12,40
2022-03-13,54
2022-03-14,48
2022-03-15,53
2022-03-16,56
2022-03-17,55
2022-03-18,63
2022-03-19,58
2022-03-20,24
2022-03-21,55
2022-03-22,56
2022-03-23,50
2022-03-24,55
2022-03-25,61
2022-03-26,65
2022-03-27,46
2022-03-28,37
2022-03-29,38
2022-03-30,51
2022-03-31,52
2022-04-01,58
2022-04-02,57
2022-04-03,49
2022-04-04,61
2022-04-05,60
2022-04-06,65
2022-04-07,55
2022-04-08,54
2022-04-09,73
2022-04-10,70
2022-04-11,64
2022-04-12,31
2022-04-13,41
2022-04-14,51
2022-04-15,50
2022-04-16,34
2022-04-17,38
2022-04-18,52
2022-04-19,44
2022-04-20,36
2022-04-21,33
2022-04-22,33
2022-04-23,48
2022-04-24,40
2022-04-25,47
2022-04-26,63
2022-04-27,64
2022-04-28,62
2022-04-29,60
2022-04-30,63
2022-05-01,61
2022-05-02,56
2022-05-03,56
2022-05-04,62
2022-05-05,60
2022-05-06,58
